PROBLEMA/RESOLUÇÃO,Pergunta,Resposta
Soraia - Tentando protocolar petição. Recebe senha com 6 dígitos mas o sistema informa que tem de ser .           após analise identificou-se que a usuária estava enrolada pra acessar o sistema. Duvidas tiradas o acesso ocorreu normalmente., Soraia - Tentando protocolar petição . Recebe senha com 6 dígitos mas o sistema informa que tem de ser ., após analise identificou-se que a usuária estava enrolada pra acessar o sistema . Duvidas tiradas o acesso ocorreu normalmente .
Soraia - Deu entrada em processo e gostaria de saber se deu tudo certo ou se falta documentação.               Foi passado o contato do protocolo que é o setor q analisa essa documentação. 3642-7371 , Soraia - Deu entrada em processo e gostaria de saber se deu tudo certo ou se falta documentação ., Foi passado o contato do protocolo que é o setor q analisa essa documentação . 3642-7371
"Prezados(as),Primeiramente, meu nome é Yngrid Morais, sou Advogada (OAB/RN 16.670). Venho por meio deste e-mail após orientação dada pela Central do Jurisdicionado.Envio-lhes a seguinte mensagem com print de tela em anexo, posto que após cadastro no Portal e-TCE, estou tendo dificuldade para completar a aceitação dos termos. Tento assinar com o certificado digital (inclusive, já fiz o download e a instalação do programa exigido para executar a assinatura). Informo também que já tentei realizá-lo por meio do Firefox e do Chrome, e em dois computadores diferentes. Mas ainda sem êxito.No anexo, a imagem da tela informa a mensagem que me aparece.Peço a orientação dos senhores, pois estou com prazo para protocolo de petição.             Prezada, o Portal E-TCE está passando por instabilidade.Para evitar a perda de prazos, peço que entre em contato com a Diretoria de Expediente para resolver situações de envio de informações via e-mail.3642-7371"," Prezados ( as ) , Primeiramente , meu nome é Yngrid Morais , sou Advogada ( OAB/RN 16.670 ) . Venho por meio deste e-mail após orientação dada pela Central do Jurisdicionado.Envio-lhes a seguinte mensagem com print de tela em anexo , posto que após cadastro no Portal e-TCE , estou tendo dificuldade para completar a aceitação dos termos . Tento assinar com o certificado digital ( inclusive , já fiz o download e a instalação do programa exigido para executar a assinatura ) . Informo também que já tentei realizá-lo por meio do Firefox e do crime , e em dois computadores diferentes . Mas ainda sem êxito.No anexo , a imagem da tela informa a mensagem que me aparece.Peço a orientação dos senhores , pois estou com prazo para protocolo de petição ."," pregada , o Portal E-TCE está passando por instabilidade.Para evitar a perda de prazos , peço que entre em contato com a Diretoria de Expediente para resolver situações de envio de informações via e-mail.3642-7371"
Wilson – adv Mossoró -  usuário informa ter prazo e não consegue assinar e enviar uma docoumentação                             foi solicitado ao usuário para entrar em contato com o protocolo para ver o envio da documentação  3642-7262, Wilson – adv Mossoró - usuário informa ter prazo e não consegue assinar e enviar uma documentação, foi solicitado ao usuário para entrar em contato com o protocolo para ver o envio da documentação 3642-7262
"Wilson – adv Mossoró -  usuário informou que o protocolo orientou  realizar a tentativa de envio da informação sem certificado, caso não desse certo q entrasse em contato com eles para arranjarem uma solução.         Foi realizado acesso remoto e identificamos que não está sendo possível a assinatura e envio de informação através da tela de envio com certificado, foi orientado ao usuário realizar o envio sem certificado e o mesmo obteve êxito."," Wilson – adv Mossoró - usuário informou que o protocolo orientou realizar a tentativa de envio da informação sem certificado , caso não desse certo q entrasse em contato com eles para arranjarem uma solução ."," Foi realizado acesso remoto e identificamos que não está sendo possível a assinatura e envio de informação através da tela de envio com certificado , foi orientado ao usuário realizar o envio sem certificado e o mesmo obteve êxito ."
PM lajes pintadas – processo – 014900/1999—responder uma notificação - tomada contas. Processo administrativo -  como fazer?             Foi informado que o mesmo poderia fazer via e-tce., PM lajes pintadas – processo – 014900/1999—responder uma notificação - tomada contas . Processo administrativo - como fazer ?, Foi informado que o mesmo poderia fazer via e-tce .
16/11 - Desde sexta tentando enviar uma resposta a documentação – problemas na hora de assinar . tipo certificado (A1 arquivo - ) já utilizaram o sistema do tribunal ? sim  .tentou mudar de máquina? Ainda não. Navegador?            foi solicitado a usuária para realizar teste em outra maquina., 16/11 - Desde sexta tentando enviar uma resposta a documentação – problemas na hora de assinar . tipo certificado ( A1 arquivo - ) já utilizaram o sistema do tribunal ? sim .tentou mudar de máquina ? Ainda não . Navegador ?, foi solicitado a usuária para realizar teste em outra maquina .
18/11 - Evelin – baixar processos no TCE – usuária gostaria de saber onde recebera o link para download. 022315/2016            dentro do e-tce é possível clicar em SOLICITAÇÃO DE DOWNLOAD onde ficam a requisição dos processos a serem baixados. , 18/11 - even – baixar processos no TCE – usuária gostaria de saber onde recebera o link para download . 022315/2016, dentro do e-tce é possível clicar em SOLICITAÇÃO DE DOWNLOAD onde ficam a requisição dos processos a serem baixados .
"Cm floranea - Não estou conseguindo inserir decisão proferida pelo plenário da Câmara no Portal do Gestor, pois está aparecendo erro.                  favor enviar imagem da tela inteira, para que possamos entender melhor o erro informado. Precisamos também que seja explicado melhor qual o sistema utilizado, quais passos foram feitos para que possamos orientá-la melhor."," Cm florença - Não estou conseguindo inserir decisão proferida pelo plenário da Câmara no Portal do Gestor , pois está aparecendo erro ."," favor enviar imagem da tela inteira , para que possamos entender melhor o erro informado . Precisamos também que seja explicado melhor qual o sistema utilizado , quais passos foram feitos para que possamos orientá-la melhor ."
"Estou tentando encaminhar Ofício Resposta da Notificação 001555/2021 que tem como prazo final esta data (22/11/2021) sem êxito.Anexo print da tela do Protocolo que trava ao tentar assinar os arquivos.Anexo, ainda, os documentos que estou tentando encaminhar.                  favor encaminhar demanda para o e-mail de@tce.rn.gov.br ."," Estou tentando encaminhar Ofício Resposta da Notificação 001555/2021 que tem como prazo final esta data ( 22/11/2021 ) sem êxito.Anexo print da tela do Protocolo que trava ao tentar assinar os arquivos.Anexo , ainda , os documentos que estou tentando encaminhar .", favor encaminhar demanda para o e-mail de @ tce.rn.gov.br .
Angelo – Jandira – peticionando no portal eletrônico . revogação da medida cautelar .       foi solicitado ao usuário o envio de tela por email para levarmos o caso a DE., Angelo – Jandira – peticionando no portal eletrônico . revogação da medida cautelar ., foi solicitado ao usuário o envio de tela por email para levarmos o caso a DE .
Adv – pablo pinto – e-tce – usuário estava com duvidas sobre o processo e pediu informações           encaminhamos o mesmo para a DE para melhores informações  3642-7371, Adv – pablo pinto – e-tce – usuário estava com duvidas sobre o processo e pediu informações, encaminhamos o mesmo para a DE para melhores informações 3642-7371
" PM extremoz – Vinicius – e-tce – usuário relata não conseguir peticionar informação no e-tce -                 identificamos que ele utilizava o navegador errado. Após isso , foi realizada a recuperação de senha e o mesmo conseguiu acessar corretamente. 03443964443 hhwof0 Dama2003#", PM extremo – Vinicius – e-tce – usuário relata não conseguir peticionar informação no e-tce -," identificamos que ele utilizava o navegador errado . Após isso , foi realizada a recuperação de senha e o mesmo conseguiu acessar corretamente . 03443964443 hhwof0 Dama2003 #"
como enviar documentos para o tce? pode ser por meio do e-tce. foi demostrado como realizar a solicitação., como enviar documentos para o tce, pode ser por meio do e-tce . foi demostrado como realizar a solicitação .
Adv – cadastro e-tce – peticionar uma defesa -  quanto tempo para cadastro ? 1 dia útil.         O documento pode ser protocolado pessoalmente até as 18:00., Adv – cadastro e-tce – peticionar uma defesa - quanto tempo para cadastro ? 1 dia útil ., O documento pode ser protocolado pessoalmente até as 18:00 .
"Segue em anexo Ata da 9ª  Sessão Ordinária, com julgamento do proc. n° 005857/2014, que versa sobre Contas Anuais do Chefe do Executivo de Florânia atinentes ao exercício de 2013, de responsabilidade do Sr. Júnior de Janúncio. 

R: Informamos que documentos/arquivos relacionados a processos deverão ser encaminhados e protocolados de forma eletrônica através do Portal E-TCE ou fisicamente no setor de protocolo desta Corte de Contas, dessa forma, não sendo possível validar o referido documento encaminhado para este e-mail.
"," Segue em anexo Ata da 9ª Sessão Ordinária , com julgamento do proc . n° 005857/2014 , que versa sobre Contas Anuais do Chefe do Executivo de florença atinentes ao exercício de 2013 , de responsabilidade do Sr. Júnior de anúncio ."," Informamos que documentos/arquivos relacionados a processos deverão ser encaminhados e protocolados de forma eletrônica através do Portal E-TCE ou fisicamente no setor de protocolo desta Corte de Contas , dessa forma , não sendo possível validar o referido documento encaminhado para este e-mail ."
